layers,memory,seed,T,mode,cos,rel,norm
1,0,0,2,trace,1.0000000811168237,0.00019238137128853736,0.9999999999994384
1,0,0,2,instant,0.9997442692696786,0.022920588229178553,1.003468589492586
1,0,0,4,trace,0.9997401505108134,0.02279705457948131,1.0000128556815269
1,0,0,4,instant,0.996270778798036,0.0869873337497498,0.98521499292254
1,0,0,8,trace,0.9999407969176544,0.010882429910378839,1.0000980939444657
1,0,0,8,instant,0.8895299803638262,0.46788303158994526,0.7886442881671216
1,0,0,16,trace,0.9999745671064468,0.007129204982172643,1.0000060472806147
1,0,0,16,instant,0.8127948939745089,0.5953795440402383,0.6898621249958369
1,0,0,32,trace,0.999989258900031,0.004635646166028683,0.9999939038180632
1,0,0,32,instant,0.9130906903200019,0.40776373253610165,0.9107370868224537
1,0,0,64,trace,0.9999497254848737,0.010020230042012563,1.000038491982811
1,0,0,64,instant,0.7738752096559531,0.6334172051678268,0.7638836699367643
1,0,0,128,trace,0.9999706038501285,0.007675634619671727,1.0000174319881605
1,0,0,128,instant,0.7514762950113778,0.6599416971374604,0.7360002309012456
1,1,0,2,trace,0.99948119242075,0.032211350413895785,0.9991657390710763
1,1,0,2,instant,0.9943490431926455,0.1061612186262944,0.994914241415021
1,1,0,4,trace,0.9994276176605786,0.033970756725745975,1.0026948592812948
1,1,0,4,instant,0.986587447484674,0.16328440189232338,0.9907362941207553
1,1,0,8,trace,0.9988208106463249,0.048560775624497746,1.0001646289222617
1,1,0,8,instant,0.9544225343297603,0.30729574147086086,0.8812526256052681
1,1,0,16,trace,0.9994939576964931,0.03184225273930731,0.9980023700779416
1,1,0,16,instant,0.9835487835745401,0.18083785995981266,0.9751694832216226
1,1,0,32,trace,0.9993188957847688,0.039015021634231414,1.0119703802075648
1,1,0,32,instant,0.8297789601959457,0.5632810021243266,0.7535021017113711
1,1,0,64,trace,0.9991795436118456,0.0422366788398381,0.9871913435567571
1,1,0,64,instant,0.7434749701081215,0.6782834633687156,0.6302367186490077
1,1,0,128,trace,0.9980398233618246,0.07799015197573234,0.9515026514023891
1,1,0,128,instant,0.7396945476778254,0.6905560682288058,0.5847253821263554
2,0,0,2,trace,0.9916817354761316,0.13016903162795646,0.972258891135809
2,0,0,2,instant,0.9863435126049372,0.16976912433366842,0.9451690095947739
2,0,0,4,trace,0.9814693741194431,0.19173406588062272,0.9748194516277761
2,0,0,4,instant,0.9555123737109782,0.2962330898379284,0.9279752808041103
2,0,0,8,trace,0.9653708686521381,0.26105954594894515,0.9557189397590813
2,0,0,8,instant,0.9217328630146364,0.40573820499145935,0.8025045870982223
2,0,0,16,trace,0.9408677369428274,0.38782607160766,0.7520789494073895
2,0,0,16,instant,0.7246711562742402,0.6942845790356214,0.6399409628920177
2,0,0,32,trace,0.9157453808436934,0.43227107242125773,0.7562236563959616
2,0,0,32,instant,0.6753393084227876,0.7383865855540112,0.6393192857576814
2,0,0,64,trace,0.9394752134220811,0.37974786625386686,0.7756996672097207
2,0,0,64,instant,0.7665765602346961,0.6489692445517565,0.672763250533408
2,0,0,128,trace,0.9401284236138845,0.38411162628445483,0.7629756990620764
2,0,0,128,instant,0.7431373729216303,0.6740392638144359,0.6620075288432625
2,1,0,2,trace,0.9977090037098302,0.07033966100819378,1.016975672871641
2,1,0,2,instant,0.9904360383962484,0.13801598524941955,0.994333629095528
2,1,0,4,trace,0.9888360910686896,0.14902553243011546,0.9911906447350574
2,1,0,4,instant,0.9337011276362185,0.35825760330288486,0.921719511260786
2,1,0,8,trace,0.9829407621932019,0.18497017593223028,0.9632911375120607
2,1,0,8,instant,0.9072392269398645,0.425008763601581,0.8462897812141864
2,1,0,16,trace,0.9204886058201976,0.3914393661128635,0.9433888133334929
2,1,0,16,instant,0.604398594673978,0.7967068697923807,0.6107001143901047
2,1,0,32,trace,0.8887207219636832,0.46102024318310736,0.8400971523899539
2,1,0,32,instant,0.6333447942390477,0.7739984404303138,0.647459565894199
2,1,0,64,trace,0.8640651249139321,0.5044461626868671,0.8312840895722823
2,1,0,64,instant,0.6899271189765317,0.7239584793717714,0.6791985787809574
2,1,0,128,trace,0.8467570645590016,0.5340451301611795,0.799840957398951
2,1,0,128,instant,0.6538458869629454,0.7569582902654126,0.6315033197018318
