layers,memory,seed,T,mode,cos,rel,norm
1,0,2,2,trace,0.9999954235556814,0.0030244144864399127,1.0000056327959264
1,0,2,2,instant,0.9972880859699123,0.07394828255636177,0.9900671890922532
1,0,2,4,trace,0.9999918439349242,0.0040520952007957025,1.0000088504690539
1,0,2,4,instant,0.9978188820408493,0.06602994772242515,0.9994346762289669
1,0,2,8,trace,0.9997859154089505,0.020694819939494836,0.9999545953471338
1,0,2,8,instant,0.9442486832892429,0.334685813061613,0.8840791343784611
1,0,2,16,trace,0.9996751823816317,0.02549365623660963,1.0002616575562209
1,0,2,16,instant,0.9736123848832852,0.22863801762646782,0.9596067275831095
1,0,2,32,trace,0.9996359517166358,0.026984052249921422,1.0001626430931232
1,0,2,32,instant,0.9777751562025334,0.21043182015668202,0.9597334494467558
1,0,2,64,trace,0.9996742652806437,0.02552396401392151,1.000115573412235
1,0,2,64,instant,0.9669568996042286,0.25722260310931533,0.9327652480639385
1,0,2,128,trace,0.9996433335257626,0.026709478884941365,1.0001499149752293
1,0,2,128,instant,0.950511301723142,0.31076348017237376,0.9572795054762662
1,1,2,2,trace,0.9999936208345228,0.0034917331806860875,1.0000113756670341
1,1,2,2,instant,0.9604892768132941,0.2786844350761734,0.9748009430538578
1,1,2,4,trace,0.9998748725679506,0.016017937970714602,0.9974000491100242
1,1,2,4,instant,0.9679108903434738,0.2516315483182254,0.9809682508546882
1,1,2,8,trace,0.999422827201157,0.034047414709669925,0.9970762333149211
1,1,2,8,instant,0.9705056057032624,0.24151758245510332,0.9850608912174446
1,1,2,16,trace,0.9995897554062292,0.0289923593686153,1.004037225555061
1,1,2,16,instant,0.9397058467243079,0.3506608997255214,0.8621825488112232
1,1,2,32,trace,0.9988503819379513,0.05057141408201016,1.0149684891784205
1,1,2,32,instant,0.9362420271083834,0.35600251341696487,0.8789067106519916
1,1,2,64,trace,0.9982375612953883,0.06179889185004049,1.0154640190570923
1,1,2,64,instant,0.9472346426758843,0.32416972036727965,0.8988722249186059
1,1,2,128,trace,0.9954814394746075,0.10475888980563759,1.0397306552079495
1,1,2,128,instant,0.9166370782376435,0.4042006305987265,0.8566216156888355
2,0,2,2,trace,0.9922254544675339,0.1301444899679368,0.9541629275416648
2,0,2,2,instant,0.9878051783019403,0.16032959901045574,0.9495364315509927
2,0,2,4,trace,0.9901955522890612,0.14213905692668538,0.9639150809057757
2,0,2,4,instant,0.9711863500886183,0.24063360125799588,0.9379001131013521
2,0,2,8,trace,0.9211027500935856,0.3907817161557616,0.8873348988471758
2,0,2,8,instant,0.7257716978769843,0.7061172286763158,0.5665687814998615
2,0,2,16,trace,0.8552224710637794,0.5238416153993509,0.9314726235442133
2,0,2,16,instant,0.7651394918447298,0.6440630868839591,0.7491928986481621
2,0,2,32,trace,0.9892260913359608,0.15161232347908568,0.9498049407237902
2,0,2,32,instant,0.6376453129330953,0.7714747899383428,0.5956360077822888
2,0,2,64,trace,0.9811432919304633,0.2344004070511851,0.8485324114505581
2,0,2,64,instant,0.5480752410546721,0.838610810819353,0.4876258835792284
2,0,2,128,trace,0.977479131986232,0.2603706757970269,0.8249727644764406
2,0,2,128,instant,0.49009338922898316,0.8737543679087182,0.42977576049421046
2,1,2,2,trace,0.999309267118065,0.03774195298020532,0.9926325798709374
2,1,2,2,instant,0.9973750638498505,0.07286070070869569,0.989209388969823
2,1,2,4,trace,0.9836744981166816,0.1803008911543959,0.9725318258618619
2,1,2,4,instant,0.9322753663976415,0.3749672608049893,0.8335920594960743
2,1,2,8,trace,0.9926572063577177,0.12152259946699119,0.9810275705081026
2,1,2,8,instant,0.8265605652571895,0.6315417255561687,0.5401214349073057
2,1,2,16,trace,0.9733830356820514,0.22938063954798574,0.963878881258599
2,1,2,16,instant,0.7097269746239205,0.720224153080216,0.5599421276951031
2,1,2,32,trace,0.9872741553587945,0.1601976149093481,0.9679536547389671
2,1,2,32,instant,0.7784447064490424,0.6809111101409715,0.5145967235447391
2,1,2,64,trace,0.9789657378004503,0.20750543768693785,1.0168153788568215
2,1,2,64,instant,0.7979793022090023,0.647885424684336,0.5602267022244307
2,1,2,128,trace,0.9633251488351656,0.28644787663790866,1.0635647748188426
2,1,2,128,instant,0.8226436412622111,0.614539588442065,0.5894007422104697
