layers,memory,seed,T,mode,cos,rel,norm
1,0,0,256,trace,0.9999584433450145,0.009118609621570791,1.0000255759041838
1,0,0,256,instant,0.7218358042855751,0.6926575050256992,0.6931759295249565
1,1,0,256,trace,0.9957160998519426,0.11579474542849516,0.9260119990819297
1,1,0,256,instant,0.7157509226634561,0.7157114840332143,0.5590908261924178
2,0,0,256,trace,0.9363628288500753,0.3889460229222424,0.7688676386843537
2,0,0,256,instant,0.7604686194660215,0.6540318562822179,0.6825542912999407
2,1,0,256,trace,0.8326284010079229,0.5547629362493993,0.800514769787604
2,1,0,256,instant,0.6640907243063557,0.7482441260483368,0.6343531837266199
4,0,0,256,trace,0.5139169358128154,0.8629541546838683,0.6077328369445731
4,0,0,256,instant,0.3672502858854881,0.9304674569711778,0.3418846043567754
4,1,0,256,trace,0.891196071016384,0.4541087215868733,0.9123039610292185
4,1,0,256,instant,0.5008073611039202,0.8663201939228633,0.5371373041379824
