layers,memory,seed,T,mode,cos,rel,norm
1,0,3,2,trace,0.9998499640624277,0.017319397751830598,0.9998393252860083
1,0,3,2,instant,0.9929821001810218,0.11991133977680726,0.9731779508427293
1,0,3,4,trace,0.9999194750107754,0.012681940672500386,0.9998821343985886
1,0,3,4,instant,0.9919868554382028,0.12647936439509652,0.997915150482828
1,0,3,8,trace,0.9997920357830489,0.020394061995795975,1.0000167848852113
1,0,3,8,instant,0.8738424951247074,0.5002007292548463,0.7563634800672469
1,0,3,16,trace,0.9996773418342522,0.025406566239718455,1.000153203745348
1,0,3,16,instant,0.934919275039617,0.36160290956251345,0.8654143730270911
1,0,3,32,trace,0.9993891301350496,0.03496219559165498,1.0002575320276241
1,0,3,32,instant,0.969385451706517,0.24575813759044332,0.959134360234348
1,0,3,64,trace,0.9993931440581938,0.0348426270520089,1.00031253462505
1,0,3,64,instant,0.9841774022140707,0.17730569025498646,0.9906764727173492
1,0,3,128,trace,0.9993319083660384,0.036557890869409214,1.0003284110776975
1,0,3,128,instant,0.9808863277688287,0.19458063027281153,0.9808260686657191
1,1,3,2,trace,0.9971432846257524,0.07574198391250626,1.0027375748916958
1,1,3,2,instant,0.9913194573617209,0.13186943757012257,1.001487712105061
1,1,3,4,trace,0.9981352435046448,0.06111290077934961,1.0010604707698008
1,1,3,4,instant,0.9824632880841754,0.18645767605321614,0.9827138085713607
1,1,3,8,trace,0.9988984090627013,0.04711699671215272,1.0031039988518644
1,1,3,8,instant,0.9845383020194167,0.17527381245808424,0.978432224312453
1,1,3,16,trace,0.9987044319047544,0.051563247154198466,1.0069775060802222
1,1,3,16,instant,0.8977603754066237,0.4435874558235393,0.8453876663330863
1,1,3,32,trace,0.9979451273389022,0.06522036546473627,0.9857653674556387
1,1,3,32,instant,0.8895784186933497,0.46160042760542525,0.8230614121468984
1,1,3,64,trace,0.9978886485247449,0.06517577309005311,1.0032970635810738
1,1,3,64,instant,0.9815574689973232,0.1912542536979316,0.9872618292755532
1,1,3,128,trace,0.9971018775207091,0.07675414006685903,1.00725122871642
1,1,3,128,instant,0.9788033529442929,0.20483250649783402,0.9822596757248039
2,0,3,2,trace,0.995975836199754,0.09225714655844465,1.017876930131542
2,0,3,2,instant,0.9858152365519488,0.16784389533362018,0.9877529166079573
2,0,3,4,trace,0.9373167639946605,0.35454506322321266,0.8720191807345975
2,0,3,4,instant,0.915577790647806,0.40638778820407573,0.8569904622006199
2,0,3,8,trace,0.9242145059853577,0.38218271648416713,0.9395473375448257
2,0,3,8,instant,0.891606077446662,0.4699790752204791,0.7657451537182441
2,0,3,16,trace,0.9485770279668594,0.34757287229309813,0.8050320086797219
2,0,3,16,instant,0.8471785419966049,0.58353587806137,0.6058795141016166
2,0,3,32,trace,0.9528370607292804,0.31297127670348357,0.8763554142559123
2,0,3,32,instant,0.8249920029032699,0.6421563643034169,0.5200716169595765
2,0,3,64,trace,0.9617732614728375,0.28458433336922234,0.8843349995534076
2,0,3,64,instant,0.8251081190672148,0.6422241698216775,0.5197300453835623
2,0,3,128,trace,0.9631100282529401,0.27454212766419256,0.9087626034455616
2,0,3,128,instant,0.8107548349124988,0.6530611481419467,0.5212511672922813
2,1,3,2,trace,0.9882930022843849,0.1593107863899578,0.9424374626593068
2,1,3,2,instant,0.982557984037588,0.1923776367778016,0.9332708324884198
2,1,3,4,trace,0.9851756236524912,0.17239604169978248,0.9681474676097569
2,1,3,4,instant,0.9705482888806186,0.24149247220485218,0.9537607457940465
2,1,3,8,trace,0.9881378830823289,0.15357024189709761,0.9875530689781528
2,1,3,8,instant,0.9366873877388446,0.35390192010282384,0.8854094225694195
2,1,3,16,trace,0.9834383653028428,0.1982198572948363,0.9031787376463604
2,1,3,16,instant,0.6648546953115111,0.7575244799556626,0.5388586992136203
2,1,3,32,trace,0.9325904435663941,0.37056054818458933,1.0164960033177683
2,1,3,32,instant,0.8433044505680981,0.5377768658064639,0.8624449665349471
2,1,3,64,trace,0.8992799773540388,0.4452932404271736,0.9828843057253402
2,1,3,64,instant,0.8183664396987198,0.5751350542016074,0.8408303721285799
2,1,3,128,trace,0.9122044968954023,0.41659225875502015,0.9874885923436965
2,1,3,128,instant,0.7983979285132086,0.6025340589349658,0.8204812045859949
